Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3195083,2016-09-12 09:14:14,2016-03-01 17:50:16,26689519,3336189875,0,125,1434,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195083/SRR3195083.sralite.1,SRX1605643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315313,SAMN04523294,simple,9739,Tursiops truncatus,GSM2076224,,,,,,,no,,,,,GEO,SRA360508,,public,D8724D66CC3537A5D2144FD32C34D0A5,393692EE9AEEA7C693B5A653590C37A4
SRR3195084,2016-09-12 09:14:14,2016-02-29 18:44:53,29195360,3649420000,0,125,1526,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195084/SRR3195084.sralite.1,SRX1605644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315311,SAMN04523295,simple,9739,Tursiops truncatus,GSM2076225,,,,,,,no,,,,,GEO,SRA360508,,public,6FF80C2ED8D531831B125DE9D4A351D0,D60FCE97F83B0D84E209B8F7FF547D9E
SRR3195085,2016-09-12 09:14:14,2016-02-29 19:48:43,33876970,4234621250,0,125,1967,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195085/SRR3195085.sralite.1,SRX1605645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315310,SAMN04523296,simple,9739,Tursiops truncatus,GSM2076226,,,,,,,no,,,,,GEO,SRA360508,,public,CF9A458C558E6EB6C04020FE67C128E8,7C2B574AE5E03E10660AFB2ABA1D3DBE
SRR3195086,2016-09-12 09:14:14,2016-03-01 17:52:36,36552481,4569060125,0,125,2081,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195086/SRR3195086.sralite.1,SRX1605646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315309,SAMN04523297,simple,9739,Tursiops truncatus,GSM2076227,,,,,,,no,,,,,GEO,SRA360508,,public,D9477EB5B160CFCB833F41CC7211F870,7EF7D17AA7D8275398F9F8B489AAEDD9
SRR3195087,2016-09-12 09:14:14,2016-03-01 17:53:12,33239603,4154950375,0,125,1815,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195087/SRR3195087.sralite.1,SRX1605647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315308,SAMN04523298,simple,9739,Tursiops truncatus,GSM2076228,,,,,,,no,,,,,GEO,SRA360508,,public,FBA5C514A9F635191F55C569E6665A53,890143A103B0E9D4A061DADFB415D0ED
SRR3195088,2016-09-12 09:14:14,2016-03-01 17:53:39,36002603,4500325375,0,125,2029,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195088/SRR3195088.sralite.1,SRX1605648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315307,SAMN04523299,simple,9739,Tursiops truncatus,GSM2076229,,,,,,,no,,,,,GEO,SRA360508,,public,4AC60DB9846E465A01BB57C1487D314D,495A4F7F2F45C1109EFF43EC0A5CCB40
SRR3195089,2016-09-12 09:14:14,2016-02-29 19:51:33,36567923,4570990375,0,125,2145,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195089/SRR3195089.sralite.1,SRX1605649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315306,SAMN04523300,simple,9739,Tursiops truncatus,GSM2076230,,,,,,,no,,,,,GEO,SRA360508,,public,E5A8D110272401431C496563E1BD2EA6,E6CDB4C839F1C0EDF58FA448A270CDEB
SRR3195090,2016-09-12 09:14:14,2016-03-01 17:51:07,33510446,4188805750,0,125,1915,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195090/SRR3195090.sralite.1,SRX1605650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315305,SAMN04523301,simple,9739,Tursiops truncatus,GSM2076231,,,,,,,no,,,,,GEO,SRA360508,,public,AE96061CB98C1300034253C8534B587E,60F619BFBEE2D3309448D937957DA849
SRR3195091,2016-09-12 09:14:14,2016-03-01 17:54:55,31491325,3936415625,0,125,1827,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195091/SRR3195091.sralite.1,SRX1605651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315304,SAMN04523302,simple,9739,Tursiops truncatus,GSM2076232,,,,,,,no,,,,,GEO,SRA360508,,public,B2ED0746A17DF8D919BF160AA6A41A2B,EF6C40D60F9CFF1CCCDD617F2B544CFF
SRR3195092,2016-09-12 09:14:14,2016-03-01 17:53:19,31516167,3939520875,0,125,1776,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195092/SRR3195092.sralite.1,SRX1605652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315303,SAMN04523303,simple,9739,Tursiops truncatus,GSM2076233,,,,,,,no,,,,,GEO,SRA360508,,public,84F2136BE49FDAEED287D274EEEF8591,FC72B8195ADBDB35A391CFE0D8989D55
SRR3195093,2016-09-12 09:14:14,2016-03-01 17:50:04,28520668,3565083500,0,125,1625,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/195/SRR3195093/SRR3195093.sralite.1,SRX1605653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP070960,PRJNA313464,2,313464,SRS1315302,SAMN04523304,simple,9739,Tursiops truncatus,GSM2076234,,,,,,,no,,,,,GEO,SRA360508,,public,39F40FA7EDF7B84918977FBC65BCCDAF,000DBE9ADF932C9154D23BD627696619
