SRAStudy	BioProject	Study_title	Tissue_or_source	Culture_status	PCNA_or_proliferation_context	Decision	Reason									
DRP010786	PRJDB16986	Dolphin_blubber_transcriptome	subcutaneous blubber/adipose tissue	not stated	none apparent	Low priority	Bulk blubber transcriptome; not cultured fibroblasts or a stated proliferation study									
SRP070960	PRJNA313464	Seasonal and individual variation in blood transcriptomes	whole blood from healthy captive dolphins	not cultured	seasonal/individual variation; no stated PCNA or proliferation focus	Low priority	Blood transcriptome study; not a direct match for fibroblast culture work									
SRP094638	PRJNA356411	Skin transcriptomics of common bottlenose dolphins	Skin biopsies from northern Gulf of Mexico and southeastern U.S. Atlantic coast dolphins	Not cultured; mixed skin tissue	"Contaminant, seasonal, and geographic expression study; no explicit PCNA focus"	Possible candidate	Large skin dataset with 116 BioSamples; useful for tissue-level PCNA screening but not fibroblast-specific.									
SRP106610	PRJNA385773	Blood transcriptomes from managed bottlenose dolphins in Waikoloa	Whole blood	Not cultured	Blood transcriptome comparison; no explicit PCNA or proliferation focus	Low priority	Blood is not a direct model for fibroblast culture work.									
SRP106690	PRJNA385781	Tursiops truncatus skin RNA-seq raw reads	"Skin from Coastal Georgia and St. Andrews Bay, Florida"	Not cultured; mixed skin tissue	No explicit PCNA or proliferation focus	Possible candidate	Skin source may contain fibroblasts but cannot identify fibroblast-specific expression without further analysis.									
SRP107302	PRJNA387123	Toxicogenomic studies of a bottlenose dolphin epidermal cell line	Cultured bottlenose dolphin epidermal cell line	"Cultured cell line; epithelial, not fibroblast"	Toxicogenomic contaminant-response study; inspect sample metadata for treatment and culture conditions	High priority culture proxy	"Closest study to the intended cell-culture work, but findings should not be treated as fibroblast-specific."									
SRP225204	PRJNA577100	RNA-seq of archived blood from dolphin health assessments	Archived blood samples from health assessments	Not cultured	Health-assessment transcriptomics; no explicit PCNA focus	Low priority	May provide background blood expression only; not relevant to fibroblast culture.									
SRP225891	PRJNA577864	RNA-seq of archived skin from dolphin health assessments	"Archived skin samples from Barataria Bay, Louisiana"	Not cultured; mixed skin tissue	Health and environmental marker study; no explicit PCNA focus	Possible candidate	"Useful tissue-level skin dataset, including 28 archived samples, but not a fibroblast culture study."									
SRP307430	PRJNA703781	Sperm cell transcriptomics of Tursiops truncatus	Sperm cells	Not cultured	Reproductive-cell transcriptome; no relevant culture context	Exclude	Biological source is not relevant to fibroblast or skin-cell culture work.									
SRP604211	PRJNA1298159	RNA sequencing of brain tissue from estuarine dolphins	Brain tissue from estuarine dolphins	Not cultured	Brain and harmful-algal-bloom exposure study; no fibroblast or PCNA focus	Exclude	Neurological tissue and toxicology context are outside the planned fibroblast-culture objective.									
