SRAStudy	BioProject	Number_of_runs	Number_of_BioSamples	LibraryStrategy	LibraryLayout
DRP010786	PRJDB16986	32	32	RNA-Seq	PAIRED
SRP070960	PRJNA313464	31	31	RNA-Seq	SINGLE
SRP094638	PRJNA356411	311	116	RNA-Seq	SINGLE
SRP106610	PRJNA385773	5	5	RNA-Seq	SINGLE
SRP106690	PRJNA385781	35	35	RNA-Seq	SINGLE
SRP107302	PRJNA387123	39	39	RNA-Seq	SINGLE
SRP225204	PRJNA577100	76	76	RNA-Seq	PAIRED
SRP225891	PRJNA577864	28	28	RNA-Seq	PAIRED
SRP307430	PRJNA703781	1	1	RNA-Seq	PAIRED
SRP604211	PRJNA1298159	17	17	RNA-Seq	SINGLE
