Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1614138,2015-06-02 14:06:08,2014-10-16 17:19:17,28408047,5738425494,28408047,202,3646,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/614/SRR1614138/SRR1614138.sralite.1,SRX733550,10B15K,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048943,PRJNA263931,2,263931,SRS722091,SAMN03108659,simple,27602,Balaena mysticetus,transcriptome sequencing bowhead whale kidney sample 1,,,,,female,,no,,,,,HARVARD UNIVERSITY,SRA191105,,public,1D0F100A065B29BF80D58CFA856572AE,9BAE28E67CAC701A4ED1C65BB45533D6
SRR1614140,2015-06-02 14:06:08,2014-10-16 17:12:48,30772589,6216062978,30772589,202,3967,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/614/SRR1614140/SRR1614140.sralite.1,SRX734350,SAMN03108660,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048943,PRJNA263931,2,263931,SRS722819,SAMN03108660,simple,27602,Balaena mysticetus,transcriptome sequencing bowhead whale kidney sample 2,,,,,male,,no,,,,,HARVARD UNIVERSITY,SRA191105,,public,613EB1DA40210D71338861B9F7C53E88,29A7312242AA8165E21F3353B12DA143
SRR1614142,2015-06-02 14:06:08,2014-10-16 17:13:26,23649103,4777118806,23649103,202,3047,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/614/SRR1614142/SRR1614142.sralite.1,SRX734351,SAMN03108661,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048943,PRJNA263931,2,263931,SRS722820,SAMN03108661,simple,27602,Balaena mysticetus,transcriptome sequencing bowhead whale kidney sample 3,,,,,female,,no,,,,,HARVARD UNIVERSITY,SRA191105,,public,0D624DA77E9D35D3AE656F89D0BAC31A,A4CFE673A6FA24EA3EDCF9C0B95052E8
SRR1614143,2015-06-02 14:06:08,2014-10-16 17:15:28,25742830,5200051660,25742830,202,3312,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/614/SRR1614143/SRR1614143.sralite.1,SRX734353,SAMN03108662,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048943,PRJNA263931,2,263931,SRS722822,SAMN03108662,simple,27602,Balaena mysticetus,transcriptome sequencing bowhead whale kidney sample 4,,,,,male,,no,,,,,HARVARD UNIVERSITY,SRA191105,,public,44472E462D46D91B3063434D01F90B27,00A1E4AC8FF6664DD77F1D850F6BE6C2
SRR1614145,2015-06-02 14:06:08,2014-10-16 17:15:54,23676039,4782559878,23676039,202,3034,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/614/SRR1614145/SRR1614145.sralite.1,SRX734354,SAMN03108663,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048943,PRJNA263931,2,263931,SRS722823,SAMN03108663,simple,27602,Balaena mysticetus,transcriptome sequencing bowhead whale liver sample 1,,,,,male,,no,,,,,HARVARD UNIVERSITY,SRA191105,,public,3BDCE1DD2B15705A429B9BE5169C669D,7CDB79887AD449C311BC06D4CBABE72D
SRR1614146,2015-06-02 14:06:08,2014-10-16 17:19:15,28522816,5761608832,28522816,202,3664,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/614/SRR1614146/SRR1614146.sralite.1,SRX734355,SAMN03108664,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048943,PRJNA263931,2,263931,SRS722824,SAMN03108664,simple,27602,Balaena mysticetus,transcriptome sequencing bowhead whale liver sample 2,,,,,female,,no,,,,,HARVARD UNIVERSITY,SRA191105,,public,ECAD06EC51D024AD8953D6706DCC6BE8,03C0D509C6EB6C00886F96B4DAD92AF4
SRR1614166,2015-06-02 14:06:08,2014-10-16 17:22:34,27716169,5598666138,27716169,202,3570,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/614/SRR1614166/SRR1614166.sralite.1,SRX734375,SAMN03108665,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP048943,PRJNA263931,2,263931,SRS722825,SAMN03108665,simple,27602,Balaena mysticetus,transcriptome sequencing bowhead whale liver sample 3,,,,,male,,no,,,,,HARVARD UNIVERSITY,SRA191105,,public,F1EA5D23E2BBE10FA120858239D74C40,3D33538AA162F94F7C4DF429AD93385D
SRR1685388,2015-01-06 00:00:00,2014-12-02 13:54:49,82874255,15915389137,82874255,192,10427,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/685/SRR1685388/SRR1685388.sralite.1,SRX790321,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050351,PRJNA194091,,194091,SRS774345,SAMN03225706,simple,27602,Balaena mysticetus,bowhead2,,,,,male,,no,,,,,UNIVERSITY OF LIVERPOOL,SRA205415,,public,376B2F1B29F265518E5290B6E00993D1,590DED30D504BC9741B86076501F4CB9
SRR1685390,2015-01-06 00:00:00,2014-12-02 16:46:36,77045771,14752713484,77045771,191,9799,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/685/SRR1685390/SRR1685390.sralite.1,SRX790322,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050351,PRJNA194091,,194091,SRS774346,SAMN03225707,simple,27602,Balaena mysticetus,bowhead3,,,,,female,,no,,,,,UNIVERSITY OF LIVERPOOL,SRA205415,,public,37E20193D13AAC7CC8209771E24E8618,FC4A38C2D554BBFF2C17BD7472D57628
SRR1685413,2015-01-06 00:00:00,2014-12-08 10:50:42,16498920,3332781840,16498920,202,2171,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/685/SRR1685413/SRR1685413.sralite.1,SRX790346,,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiScanSQ,SRP050351,PRJNA194091,,194091,SRS774361,SAMN03225708,simple,27602,Balaena mysticetus,bowhead4,,,,,male,,no,,,,,UNIVERSITY OF LIVERPOOL,SRA205415,,public,7202162EDC3A123917B73E159F76D592,900E2BBCAA43702D5F218514935BA1D5
