Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR415770,2022-11-07 11:59:34,2022-11-07 12:04:09,22039764,6656008728,22039764,302,2035,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415770/DRR415770.lite.1,DRX401337,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,224,62.21,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261989,SAMD00553928,simple,9742,Phocoena phocoena,SAMD00553928,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,B865573FFF8F4CAA94342E89F9538958,25A4AFBB90C283A0F4AF24F5F359CE56
DRR415771,2022-11-07 11:59:34,2022-11-07 12:03:34,24572512,7420898624,24572512,302,2245,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415771/DRR415771.lite.1,DRX401338,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,219,57.96,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261990,SAMD00553929,simple,9742,Phocoena phocoena,SAMD00553929,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,8C1D5517BA9E828C0DC05F38A7461D8A,0D8483C310F6C2AEBE126FFCB3495018
DRR415772,2022-11-07 11:59:34,2022-11-07 12:01:36,26497817,8002340734,26497817,302,2418,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415772/DRR415772.lite.1,DRX401339,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,219,56.61,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261991,SAMD00553930,simple,9742,Phocoena phocoena,SAMD00553930,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,C2BC62682E56FEFE0CFA24BFEB2708D0,926A485ECAEAFA7BD1BA3A460FD3149E
DRR415773,2022-11-07 11:59:34,2022-11-07 12:06:12,20378060,6154174120,20378060,302,1881,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415773/DRR415773.lite.1,DRX401340,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,216,56.07,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261992,SAMD00553931,simple,9742,Phocoena phocoena,SAMD00553931,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,7AD81D2D6007C25C7ED6CCE1759A51A0,21C3C6C924CF7B1102082B9E5ED47112
DRR415774,2022-11-07 11:59:34,2022-11-07 12:01:25,28260775,8534754050,28260775,302,2585,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415774/DRR415774.lite.1,DRX401341,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,219,57.57,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261993,SAMD00553932,simple,9742,Phocoena phocoena,SAMD00553932,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,7F3717AE2D1CD06F5E14767B9F87FB5D,38A695339201606FE05411DE80C26D6E
DRR415775,2022-11-07 11:59:34,2022-11-07 12:03:16,22189716,6701294232,22189716,302,2031,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415775/DRR415775.lite.1,DRX401342,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,222,59.74,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261994,SAMD00553933,simple,9742,Phocoena phocoena,SAMD00553933,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,1BF0B92BEE54FE2EC4131E468CBD2A95,382944D4F4C91C2EDE665FF0329ABE77
DRR415776,2022-11-07 11:59:34,2022-11-07 12:02:43,24385123,7364307146,24385123,302,2224,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415776/DRR415776.lite.1,DRX401343,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,219,57.06,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261995,SAMD00553934,simple,9742,Phocoena phocoena,SAMD00553934,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,7F7EFA3E5D2F2575979BE0349BFC6842,ED6CD6920E950B85401605CAE5205606
DRR415777,2022-11-07 11:59:34,2022-11-07 12:01:38,22285466,6730210732,22285466,302,2067,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415777/DRR415777.lite.1,DRX401344,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,218,56.56,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261996,SAMD00553935,simple,9742,Phocoena phocoena,SAMD00553935,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,59EA626EA17A65FD3AB3C3432DD6A039,7932BEF04B01621FA5CAAF40CC7DE998
DRR415778,2022-11-07 11:59:34,2022-11-07 12:06:17,40952718,12367720836,40952718,302,3781,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415778/DRR415778.lite.1,DRX401345,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,221,59.06,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261997,SAMD00553936,simple,9742,Phocoena phocoena,SAMD00553936,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,DE324844DA1EEDB103CA2583FB1D0FD0,78360D994BF2EE5A7750DF7BAB544B48
DRR415779,2022-11-07 11:59:34,2022-11-07 12:04:53,22856665,6902712830,22856665,302,2168,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/DRR000/415/DRR415779/DRR415779.lite.1,DRX401346,TruSeq stranded mRNA Library,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,240,83.39,ILLUMINA,Illumina NovaSeq 6000,DRP009179,PRJDB14714,,899369,DRS261998,SAMD00553937,simple,9742,Phocoena phocoena,SAMD00553937,,,,,male,,no,,,,,HOKUDAI,DRA015094,,public,9F8135FA8BFBF6B641D31ED17A271390,9CE744CE7D4CC0BE4996D553B552A6EE
