Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR37355528,2026-02-24 21:10:08,2026-02-24 21:00:48,74178767,14833670565,74178767,199,4101,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355528/SRR37355528.lite.1,SRX32269257,1EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190655,SAMN55933202,simple,9773,Megaptera novaeangliae,1EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,1CFB349CDDE4DE5CE934156613A746D5,08205F399E036F9FAA84C3563753CF0B
SRR2183423,2015-09-30 00:00:00,2015-08-26 09:37:28,19402616,3492470880,19402616,180,2221,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/183/SRR2183423/SRR2183423.sralite.1,SRX1163815,,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP062830,PRJNA293689,,293689,SRS1044642,SAMN04009385,simple,9773,Megaptera novaeangliae,Humpback whale,,,,,male,,no,,,,,"SCHOOL OF BIOLOGICAL & CHEMICAL SCIENCES, QUEEN MA",SRA290989,,public,F5430711DCEB53D4565BD3B52D3AADB7,223271F13FFF54AACC6407972627FEF5
SRR28920143,2024-07-05 11:52:29,2024-05-06 23:02:04,159202332,47760699600,159202332,300,14382,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR028/28920/SRR28920143/SRR28920143.lite.1,SRX24476266,RNA_HW,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP506011,PRJNA1103780,3,1103780,SRS21226949,SAMN41059645,simple,9773,Megaptera novaeangliae,KW2013002,,,,,,,no,,,,,HUMPBACK WHALE GENOME,SRA1860611,,public,F377B089C97898EBA9DFA778B4406FFE,3E1049EDA142C939DE89DF7F6FBEFE3B
SRR31249609,2025-12-31 01:13:55,2024-11-06 13:34:34,93356722,18522832527,93356722,198,5907,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR031/31249/SRR31249609/SRR31249609.lite.1,SRX26629293,MN21,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP543551,PRJNA1182765,,1182765,SRS23124841,SAMN44605034,simple,9773,Megaptera novaeangliae,MN21,,,,,female,,no,,,,,FEDERAL UNIVERSITY OF SANTA CATARINA,SRA2009231,,public,6821910FC778A3382CA784186124FA99,2BF6EDCFC752519174F0DAB9E0A57F25
SRR8388975,2019-02-14 00:24:05,2019-01-03 18:29:59,141933491,14181316250,141933491,99,8859,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/388/SRR8388975/SRR8388975.sralite.1,SRX5198687,ASU/GRON-RNA,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP175048,PRJNA509641,,509641,SRS4201634,SAMN10585801,simple,9773,Megaptera novaeangliae,Salt,,,,,female,,no,,,,,NORTHERN ARIZONA UNIVERSITY,SRA829881,,public,278A5FB82CE8D4C36E53725BF10B9A91,72F124D5ADAD416FF6D02787418B38BF
SRR37355526,2026-02-24 21:04:36,2026-02-24 20:59:03,69895232,13942924022,69895232,199,3909,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355526/SRR37355526.lite.1,SRX32269259,11EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190657,SAMN55933212,simple,9773,Megaptera novaeangliae,11EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,0FAD78211DC8FD95BACC0011B4083089,0645BB7DE40647BA6F475EC0D98B4E25
SRR37355525,2026-02-24 21:10:07,2026-02-24 21:00:41,78916933,15791745340,78916933,200,4398,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355525/SRR37355525.lite.1,SRX32269260,12EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190658,SAMN55933213,simple,9773,Megaptera novaeangliae,12EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,F2DF7BA88521A6E17EE870369FC5CB9E,F84DDB025E44BA60ED103963097BC956
SRR37355524,2026-02-24 21:04:36,2026-02-24 20:55:01,96819288,19351475148,96819288,199,5378,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355524/SRR37355524.lite.1,SRX32269261,13EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190659,SAMN55933214,simple,9773,Megaptera novaeangliae,13EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,3A686FE9B9F5C040FDE8848BAEAE0C71,339E648888B75B2217FD2D2B188D6D4B
SRR37355523,2026-02-24 20:50:12,2026-02-24 20:41:43,81569301,16315468566,81569301,200,4566,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355523/SRR37355523.lite.1,SRX32269262,14EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190660,SAMN55933215,simple,9773,Megaptera novaeangliae,14EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,D0C9BAE48108BECA3CCBBB9DF5BEB31C,44CF83205A8FBC271840B8BE7124D0A8
SRR37355527,2026-02-24 21:10:08,2026-02-24 21:04:02,86337563,17123579592,86337563,198,4811,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37355/SRR37355527/SRR37355527.lite.1,SRX32269258,2EM,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP679133,PRJNA1427753,,1427753,SRS28190656,SAMN55933203,simple,9773,Megaptera novaeangliae,2EM,,,,,male,,no,,,,,GRIFFITH UNIVERSITY,SRA2339487,,public,3553B0098988BC1C5E001E5C6C2EB62B,DC07A665F4EC97F4673E9D7C3797764D
