Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR653415,2013-01-28 18:10:17,2013-01-28 18:10:00,29265719,5853143800,29265719,200,4089,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/653/SRR653415/SRR653415.sralite.1,SRX220351,2886150801,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,380,0,ILLUMINA,Illumina HiSeq 2000,SRP016870,PRJNA177694,,177694,SRS387919,SAMN01906657,simple,9755,Physeter macrocephalus,152960,,,,,,,no,,,,,WUGSC,SRA065761,,public,6E6ED63487220E4A8704468DAB8DDD35,A094247C8301DCC2DCEE3C7CCBA2B325
SRR653403,2013-01-28 16:34:08,2013-01-28 16:33:10,730793,219237900,730793,300,127,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/653/SRR653403.sralite.1,SRX220350,2882180904,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,378,0,ILLUMINA,Illumina MiSeq,SRP016870,PRJNA177694,,177694,SRS387922,SAMN01906660,simple,9755,Physeter macrocephalus,152964,,,,,,,no,,,,,WUGSC,SRA065742,,public,49C27388F4D6C76676283FFEF1CF54DC,FDDC68CFD96F54494D4248FA34D57619
SRR653420,2013-01-28 19:03:37,2013-01-28 19:02:33,38507389,6661778297,38507389,173,4354,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/653/SRR653420/SRR653420.sralite.1,SRX220354,2882180906,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,346,0,ILLUMINA,Illumina HiSeq 2000,SRP016870,PRJNA177694,,177694,SRS387921,SAMN01906659,simple,9755,Physeter macrocephalus,152968,,,,,,,no,,,,,WUGSC,SRA065764,,public,2CC9C7761CAF66B5B34217F8F8D168C5,B44211089F815F3FCBB90D3FD0FAC25F
SRR653419,2013-01-28 18:39:11,2013-01-28 18:38:10,42135429,7289429217,42135429,173,4751,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/653/SRR653419/SRR653419.sralite.1,SRX220352,2882180907,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,336,0,ILLUMINA,Illumina HiSeq 2000,SRP016870,PRJNA177694,,177694,SRS387918,SAMN01906656,simple,9755,Physeter macrocephalus,152972,,,,,,,no,,,,,WUGSC,SRA065763,,public,E6A5C907492A429D6D7486EAF950C3BD,E2F8AC57484998C5C66177CCCA495ACE
SRR653404,2013-01-28 16:38:11,2013-01-28 16:37:26,762161,228648300,762161,300,133,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/653/SRR653404.sralite.1,SRX220353,2882180905,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,368,0,ILLUMINA,Illumina MiSeq,SRP016870,PRJNA177694,,177694,SRS387920,SAMN01906658,simple,9755,Physeter macrocephalus,152982,,,,,,,no,,,,,WUGSC,SRA065743,,public,ADB6CA44A0957FBAA03D014F503460B1,883AFAEEB3E6EBE9D20901FBB8AF4E51
SRR653416,2013-01-28 18:18:11,2013-01-28 18:17:28,37166528,6429809344,37166528,173,4194,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/653/SRR653416/SRR653416.sralite.1,SRX220358,2882180904,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,378,0,ILLUMINA,Illumina HiSeq 2000,SRP016870,PRJNA177694,,177694,SRS387922,SAMN01906660,simple,9755,Physeter macrocephalus,152964,,,,,,,no,,,,,WUGSC,SRA065762,,public,21F5C8FEF7B7AE1F20E722C80A198F62,C55555A047735809264FAB730D86AFAB
SRR653406,2013-01-28 16:38:11,2013-01-28 16:37:26,765929,229778700,765929,300,133,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/653/SRR653406.sralite.1,SRX220357,2882180906,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,346,0,ILLUMINA,Illumina MiSeq,SRP016870,PRJNA177694,,177694,SRS387921,SAMN01906659,simple,9755,Physeter macrocephalus,152968,,,,,,,no,,,,,WUGSC,SRA065745,,public,65CB87F7B1DDCF0409BE1BF96EA79951,76B2C0CD1C459BADDF202B87265D524E
SRR653405,2013-01-28 16:38:11,2013-01-28 16:37:29,845280,253584000,845280,300,146,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/653/SRR653405.sralite.1,SRX220355,2882180907,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,336,0,ILLUMINA,Illumina MiSeq,SRP016870,PRJNA177694,,177694,SRS387918,SAMN01906656,simple,9755,Physeter macrocephalus,152972,,,,,,,no,,,,,WUGSC,SRA065744,,public,44983625FD76573A9D601464B7CA9FEC,E8C02CC979DC36729CE3F96CF751A150
SRR653428,2013-01-28 19:45:11,2013-01-28 19:44:37,38415628,6645903644,38415628,173,4351,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/653/SRR653428/SRR653428.sralite.1,SRX220356,2882180905,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,368,0,ILLUMINA,Illumina HiSeq 2000,SRP016870,PRJNA177694,,177694,SRS387920,SAMN01906658,simple,9755,Physeter macrocephalus,152982,,,,,,,no,,,,,WUGSC,SRA065782,,public,D6E4C39F1A392FD099626C09597E87DF,C7B79514FB5866EB97F46079B7E114D3
SRR13024481,2021-02-17 18:07:06,2020-11-11 11:58:07,21508719,6452615700,21508719,300,2565,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13024/SRR13024481/SRR13024481.lite.1,SRX9474695,sperm whale,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP292185,PRJNA676103,3,676103,SRS7684131,SAMN16752490,simple,9755,Physeter macrocephalus,sperm whale,,,,,female,,no,,,,,OCEAN UNIVERSITY OF CHINA,SRA1157642,,public,93D23A6DD748657D7629A89A131CF197,B572ACE4CE4C9F372925AEFA05B1DA74
