Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5282298,2017-06-27 00:00:59,2017-02-23 21:47:14,30069180,4510377000,30069180,150,1583,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282298.sralite.1,SRX2585930,A66332,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999566,SAMN06373807,simple,9749,Delphinapterus leucas,SJ_35,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,292573AC003E313E47389CA9DBC08718,D142E2AA3F3275C8674E5AB8C5C10D60
SRR5282288,2017-06-27 00:00:59,2017-02-23 21:44:22,29404272,4410640800,29404272,150,1546,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282288.sralite.1,SRX2585930,A66332,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999566,SAMN06373807,simple,9749,Delphinapterus leucas,SJ_35,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,D505EA32BA2718549E0009D7FFAB2370,475FCF56E5F606B0267390E1D13D70A3
SRR5282291,2017-06-27 00:00:59,2017-02-23 21:46:21,30136610,4520491500,30136610,150,1585,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282291.sralite.1,SRX2585930,A66332,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999566,SAMN06373807,simple,9749,Delphinapterus leucas,SJ_35,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,C45FC88105062F0114FDED730EB39A61,2375A7D1D03C3AC149A2FE7968396FED
SRR5282292,2017-06-27 00:00:59,2017-02-23 21:44:15,30134686,4520202900,30134686,150,1589,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282292.sralite.1,SRX2585930,A66332,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999566,SAMN06373807,simple,9749,Delphinapterus leucas,SJ_35,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,1EDBE58CF1651D000BCC348BCC1A75B1,304249240606787BD3776DC0C58CE1E4
SRR5282294,2017-06-27 00:00:59,2017-02-23 21:45:50,31046128,4656919200,31046128,150,1673,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282294.sralite.1,SRX2585928,A66336,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999564,SAMN06374824,simple,9749,Delphinapterus leucas,SJ_36,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,4539DBCF52D47DC5BB7EF4FD932A14AA,9AFE117715EA2C03198A05A034F975D2
SRR5282295,2017-06-27 00:00:59,2017-02-23 21:50:11,30334541,4550181150,30334541,150,1635,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282295.sralite.1,SRX2585928,A66336,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999564,SAMN06374824,simple,9749,Delphinapterus leucas,SJ_36,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,AE0609B9F372A222F87586A35B72D861,8541CAFF358B7870734B5672CFB60474
SRR5282296,2017-06-27 00:00:59,2017-02-23 21:46:48,30962177,4644326550,30962177,150,1672,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282296.sralite.1,SRX2585928,A66336,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999564,SAMN06374824,simple,9749,Delphinapterus leucas,SJ_36,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,C5E4737F20A759C5991F172424061E92,649493AF7604BB9BB459FBB255C536CA
SRR5282297,2017-06-27 00:00:59,2017-02-23 21:48:51,31128024,4669203600,31128024,150,1684,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282297.sralite.1,SRX2585928,A66336,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999564,SAMN06374824,simple,9749,Delphinapterus leucas,SJ_36,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,954A34D57EAA2BFF7BDD5CC532ECB813,D4C92DCABC0B84E20DB568B08C669A59
SRR5282293,2017-06-27 00:00:59,2017-02-23 21:46:50,29654706,4448205900,29654706,150,1563,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282293.sralite.1,SRX2585927,A66340,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999563,SAMN06375781,simple,9749,Delphinapterus leucas,SJ_37,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,803D2DC4C2730CB7880676865231676C,21AD3EE8DC696A8C71D514946906C3C2
SRR5282289,2017-06-27 00:00:59,2017-02-23 21:45:49,30329745,4549461750,30329745,150,1599,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282289.sralite.1,SRX2585927,A66340,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999563,SAMN06375781,simple,9749,Delphinapterus leucas,SJ_37,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,E291435BBA800B258825CC704FD37264,73DCE41AF004F8D49D9841F3723E620C
SRR5282283,2017-06-27 00:00:59,2017-02-23 21:41:28,30325796,4548869400,30325796,150,1606,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282283.sralite.1,SRX2585927,A66340,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999563,SAMN06375781,simple,9749,Delphinapterus leucas,SJ_37,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,283F78FE5B679C089B167C183289D4ED,5AA8C620BDD5A1C80DA4FAA6367A0E76
SRR5282285,2017-06-27 00:00:59,2017-02-23 21:45:09,30246787,4537018050,30246787,150,1599,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/282/SRR5282285.sralite.1,SRX2585927,A66340,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP097694,PRJNA360851,2,360851,SRS1999563,SAMN06375781,simple,9749,Delphinapterus leucas,SJ_37,,,,,female,,no,,,,,BCCAGSC,SRA531094,,public,EF150163A6C20394E85F4D5EB07B302B,BB5C75C0FD19F7E4CD1B4C6083FF6820
