"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HVHDCR3M","journalArticle","2017","Patro, Rob; Duggal, Geet; Love, Michael I; Irizarry, Rafael A; Kingsford, Carl","Salmon provides fast and bias-aware quantification of transcript expression","Nature Methods","","1548-7091, 1548-7105","10.1038/nmeth.4197","https://www.nature.com/articles/nmeth.4197","","2017-04","2026-02-23 17:05:47","2026-02-23 17:05:47","2026-02-23 17:05:47","417-419","","4","14","","Nat Methods","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKISEWHL","journalArticle","2022","Wijesooriya, Kaumadi; Jadaan, Sameer A.; Perera, Kaushalya L.; Kaur, Tanuveer; Ziemann, Mark","Urgent need for consistent standards in functional enrichment analysis","PLOS Computational Biology","","1553-7358","10.1371/journal.pcbi.1009935","https://dx.plos.org/10.1371/journal.pcbi.1009935","Gene set enrichment tests (a.k.a. functional enrichment analysis) are among the most frequently used methods in computational biology. Despite this popularity, there are concerns that these methods are being applied incorrectly and the results of some peer-reviewed publications are unreliable. These problems include the use of inappropriate background gene lists, lack of false discovery rate correction and lack of methodological detail. To ascertain the frequency of these issues in the literature, we performed a screen of 186 open-access research articles describing functional enrichment results. We find that 95% of analyses using over-representation tests did not implement an appropriate background gene list or did not describe this in the methods. Failure to perform p-value correction for multiple tests was identified in 43% of analyses. Many studies lacked detail in the methods section about the tools and gene sets used. An extension of this survey showed that these problems are not associated with journal or article level bibliometrics. Using seven independent RNA-seq datasets, we show misuse of enrichment tools alters results substantially. In conclusion, most published functional enrichment studies suffered from one or more major flaws, highlighting the need for stronger standards for enrichment analysis.","2022-03-09","2026-02-25 16:52:26","2026-02-25 16:52:26","2026-02-25 16:52:26","e1009935","","3","18","","PLoS Comput Biol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\TX47F8VR\Wijesooriya et al. - 2022 - Urgent need for consistent standards in functional enrichment analysis.pdf","","","","Kemp, Melissa L.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5JWCCBJ","journalArticle","2020","Mardanov, Andrey V.; Eldarov, Mikhail A.; Beletsky, Alexey V.; Tanashchuk, Tatiana N.; Kishkovskaya, Svetlana A.; Ravin, Nikolai V.","Transcriptome Profile of Yeast Strain Used for Biological Wine Aging Revealed Dynamic Changes of Gene Expression in Course of Flor Development","Frontiers in Microbiology","","1664-302X","10.3389/fmicb.2020.00538","https://www.frontiersin.org/article/10.3389/fmicb.2020.00538/full","","2020-04-03","2026-02-26 03:02:15","2026-02-26 03:02:15","2026-02-26 03:02:15","538","","","11","","Front. Microbiol.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\KZ99Q34C\Mardanov et al. - 2020 - Transcriptome Profile of Yeast Strain Used for Biological Wine Aging Revealed Dynamic Changes of Gen.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TNZ3BZAJ","journalArticle","2015","Li, Zhenjian; Chen, Yong; Liu, Dong; Zhao, Nan; Cheng, Hao; Ren, Hengfei; Guo, Ting; Niu, Huanqing; Zhuang, Wei; Wu, Jinglan; Ying, Hanjie","Involvement of glycolysis/gluconeogenesis and signaling regulatory pathways in Saccharomyces cerevisiae biofilms during fermentation","Frontiers in Microbiology","","1664-302X","10.3389/fmicb.2015.00139","http://journal.frontiersin.org/Article/10.3389/fmicb.2015.00139/abstract","","2015-02-23","2026-02-26 03:03:59","2026-02-26 03:03:59","2026-02-26 03:03:59","","","","6","","Front. Microbiol.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\QVCY3BW3\Li et al. - 2015 - Involvement of glycolysisgluconeogenesis and signaling regulatory pathways in Saccharomyces cerevis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVT7QDVV","journalArticle","2013","Vandenbosch, Davy; De Canck, Evelien; Dhondt, Inne; Rigole, Petra; Nelis, Hans J.; Coenye, Tom","Genomewide screening for genes involved in biofilm formation and miconazole susceptibility in <i>Saccharomyces cerevisiae</i>","FEMS Yeast Research","","15671356","10.1111/1567-1364.12071","https://academic.oup.com/femsyr/article-lookup/doi/10.1111/1567-1364.12071","","2013-12","2026-02-28 15:18:34","2026-02-28 15:18:34","2026-02-28 15:18:34","720-730","","8","13","","FEMS Yeast Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QKPVCM7I","journalArticle","2011","Callegari, Sylvie; McKinnon, Ross A.; Andrews, Stuart; De Barros Lopes, Miguel A.","The <i>MEF2</i> gene is essential for yeast longevity, with a dual role in cell respiration and maintenance of mitochondrial membrane potential","FEBS Letters","","00145793","10.1016/j.febslet.2011.03.022","http://doi.wiley.com/10.1016/j.febslet.2011.03.022","","2011-04-20","2026-02-28 16:13:34","2026-02-28 16:13:34","2026-02-28 16:13:34","1140-1146","","8","585","","","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4A7EBNXT","journalArticle","2014","Love, Michael I; Huber, Wolfgang; Anders, Simon","Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2","Genome Biology","","1474-760X","10.1186/s13059-014-0550-8","https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0550-8","Abstract                            In comparative high-throughput sequencing assays, a fundamental task is the analysis of count data, such as read counts per gene in RNA-seq, for evidence of systematic changes across experimental conditions. Small replicate numbers, discreteness, large dynamic range and the presence of outliers require a suitable statistical approach. We present               DESeq2               , a method for differential analysis of count data, using shrinkage estimation for dispersions and fold changes to improve stability and interpretability of estimates. This enables a more quantitative analysis focused on the strength rather than the mere presence of differential expression. The               DESeq2               package is available at               http://www.bioconductor.org/packages/release/bioc/html/DESeq2.html               .","2014-12-05","2026-02-28 17:17:05","2026-02-28 17:17:05","2026-02-28 17:17:05","550","","12","15","","Genome Biol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\NRSWGFV6\Love et al. - 2014 - Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GTENE4W","journalArticle","2020","Srivastava, Avi; Malik, Laraib; Sarkar, Hirak; Zakeri, Mohsen; Almodaresi, Fatemeh; Soneson, Charlotte; Love, Michael I.; Kingsford, Carl; Patro, Rob","Alignment and mapping methodology influence transcript abundance estimation","Genome Biology","","1474-760X","10.1186/s13059-020-02151-8","https://genomebiology.biomedcentral.com/articles/10.1186/s13059-020-02151-8","Abstract                            Background               The accuracy of transcript quantification using RNA-seq data depends on many factors, such as the choice of alignment or mapping method and the quantification model being adopted. While the choice of quantification model has been shown to be important, considerably less attention has been given to comparing the effect of various read alignment approaches on quantification accuracy.                                         Results               We investigate the influence of mapping and alignment on the accuracy of transcript quantification in both simulated and experimental data, as well as the effect on subsequent differential expression analysis. We observe that, even when the quantification model itself is held fixed, the effect of choosing a different alignment methodology, or aligning reads using different parameters, on quantification estimates can sometimes be large and can affect downstream differential expression analyses as well. These effects can go unnoticed when assessment is focused too heavily on simulated data, where the alignment task is often simpler than in experimentally acquired samples. We also introduce a new alignment methodology, called selective alignment, to overcome the shortcomings of lightweight approaches without incurring the computational cost of traditional alignment.                                         Conclusion               We observe that, on experimental datasets, the performance of lightweight mapping and alignment-based approaches varies significantly, and highlight some of the underlying factors. We show this variation both in terms of quantification and downstream differential expression analysis. In all comparisons, we also show the improved performance of our proposed selective alignment method and suggest best practices for performing RNA-seq quantification.","2020-12","2026-02-28 17:19:29","2026-02-28 17:19:29","2026-02-28 17:19:29","239","","1","21","","Genome Biol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\ETYDBGDS\Srivastava et al. - 2020 - Alignment and mapping methodology influence transcript abundance estimation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4P7ZPJYL","journalArticle","2021","Geistlinger, Ludwig; Csaba, Gergely; Santarelli, Mara; Ramos, Marcel; Schiffer, Lucas; Turaga, Nitesh; Law, Charity; Davis, Sean; Carey, Vincent; Morgan, Martin; Zimmer, Ralf; Waldron, Levi","Toward a gold standard for benchmarking gene set enrichment analysis","Briefings in Bioinformatics","","1477-4054","10.1093/bib/bbz158","https://academic.oup.com/bib/article/22/1/545/5722384","Abstract                            Motivation               Although gene set enrichment analysis has become an integral part of high-throughput gene expression data analysis, the assessment of enrichment methods remains rudimentary and ad hoc. In the absence of suitable gold standards, evaluations are commonly restricted to selected datasets and biological reasoning on the relevance of resulting enriched gene sets.                                         Results               We develop an extensible framework for reproducible benchmarking of enrichment methods based on defined criteria for applicability, gene set prioritization and detection of relevant processes. This framework incorporates a curated compendium of 75 expression datasets investigating 42 human diseases. The compendium features microarray and RNA-seq measurements, and each dataset is associated with a precompiled GO/KEGG relevance ranking for the corresponding disease under investigation. We perform a comprehensive assessment of 10 major enrichment methods, identifying significant differences in runtime and applicability to RNA-seq data, fraction of enriched gene sets depending on the null hypothesis tested and recovery of the predefined relevance rankings. We make practical recommendations on how methods originally developed for microarray data can efficiently be applied to RNA-seq data, how to interpret results depending on the type of gene set test conducted and which methods are best suited to effectively prioritize gene sets with high phenotype relevance.                                         Availability               http://bioconductor.org/packages/GSEABenchmarkeR                                         Contact               ludwig.geistlinger@sph.cuny.edu","2021-01-18","2026-02-28 21:22:59","2026-02-28 21:22:59","2026-02-28 21:22:59","545-556","","1","22","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LA7CP2HU","journalArticle","2016","Schurch, Nicholas J.; Schofield, Pietá; Gierliński, Marek; Cole, Christian; Sherstnev, Alexander; Singh, Vijender; Wrobel, Nicola; Gharbi, Karim; Simpson, Gordon G.; Owen-Hughes, Tom; Blaxter, Mark; Barton, Geoffrey J.","How many biological replicates are needed in an RNA-seq experiment and which differential expression tool should you use?","RNA","","1355-8382, 1469-9001","10.1261/rna.053959.115","http://rnajournal.cshlp.org/lookup/doi/10.1261/rna.053959.115","RNA-seq is now the technology of choice for genome-wide differential gene expression experiments, but it is not clear how many biological replicates are needed to ensure valid biological interpretation of the results or which statistical tools are best for analyzing the data. An RNA-seq experiment with 48 biological replicates in each of two conditions was performed to answer these questions and provide guidelines for experimental design. With three biological replicates, nine of the 11 tools evaluated found only 20%–40% of the significantly differentially expressed (SDE) genes identified with the full set of 42 clean replicates. This rises to >85% for the subset of SDE genes changing in expression by more than fourfold. To achieve >85% for all SDE genes regardless of fold change requires more than 20 biological replicates. The same nine tools successfully control their false discovery rate at ≲5% for all numbers of replicates, while the remaining two tools fail to control their FDR adequately, particularly for low numbers of replicates. For future RNA-seq experiments, these results suggest that at least six biological replicates should be used, rising to at least 12 when it is important to identify SDE genes for all fold changes. If fewer than 12 replicates are used, a superior combination of true positive and false positive performances makes               edgeR               and               DESeq2               the leading tools. For higher replicate numbers, minimizing false positives is more important and               DESeq               marginally outperforms the other tools.","2016-06","2026-03-01 03:24:56","2026-03-01 03:24:56","2026-03-01 03:24:56","839-851","","6","22","","RNA","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\JGDWF5IC\Schurch et al. - 2016 - How many biological replicates are needed in an RNA-seq experiment and which differential expression.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
