species,n_assemblies,best_accession,best_level,contig_n50_bp,scaffold_n50_bp,genome_size_gbp,annotated,n_rnaseq_runs,n_bioprojects,platforms,rnaseq_dates
amazon,3,GCA_036417435.1,Chromosome,40892022,117431308,2.749,yes,,,,
beluga,8,GCF_002288925.2,Scaffold,196689,31183418,2.363,yes,120,4,ILLUMINA,2017-05-15 – 2025-10-31
blue,4,GCF_009873245.2,Chromosome,6315640,110314666,2.375,yes,4,3,"ILLUMINA, PACBIO_SMRT",2019-03-23 – 2022-03-01
bottlenose,10,GCF_011762595.2,Chromosome,9729386,108430135,2.379,yes,575,10,ILLUMINA,2016-09-12 – 2025-11-18
cuviers,1,GCA_004364475.1,Scaffold,3606,3608,3.15,no,,,,
ganges,2,GCA_054084255.1,Scaffold,91134,116082929,2.539,no,,,,
harbour,5,GCF_963924675.1,Chromosome,3726689,110192646,2.513,yes,29,3,ILLUMINA,2022-11-07 – 2026-02-28
humpback,2,GCA_041834305.1,Chromosome,36344089,107416641,3.147,yes,37,5,ILLUMINA,2015-09-30 – 2026-02-24
long-finned,5,GCF_963455315.2,Chromosome,3290841,105087932,2.651,yes,7,3,ILLUMINA,2019-12-02 – 2023-08-28
narwhal,7,GCF_005190385.1,Scaffold,255327,107566389,2.356,yes,7,1,ILLUMINA,2019-05-02 – 2022-11-02
north,3,GCF_028564815.1,Chromosome,37467374,129620717,2.844,yes,2,2,ILLUMINA,2023-09-02 – 2024-04-21
pygmy,4,GCF_026419965.1,Chromosome,42780423,122394096,2.556,yes,6,1,ILLUMINA,2024-04-06 – 2024-04-24
sperm,6,GCF_002837175.3,Chromosome,42877,122182240,2.496,yes,10,2,ILLUMINA,2013-01-28 – 2021-02-17
